Column1,time,topicName,query,hotPos,popular,id,active_time_hr,climbing_time,top_hotPos,max_span_up_hotPos,max_span_down_hotPos,hotPos_flucation_avg_span,max_span_up_popular,max_span_down_popular,popular_avg,is_business_day
129,2021-12-11 15:00:00,Kentucky,Kentucky,2,88100,M_003,1496.0,157.0,2,10.0,17.0,4.434782608695652,51200.0,22800.0,30891.260869565216,1
130,2021-11-07 06:00:00,Kentucky,Kentucky,19,30200,M_003,671.0,157.0,2,10.0,17.0,4.388888888888889,5200.0,22800.0,27611.055555555555,1
131,2021-11-07 05:00:00,Kentucky,Kentucky,12,30000,M_003,670.0,157.0,2,10.0,17.0,4.235294117647059,5200.0,22800.0,27458.764705882353,1
132,2021-11-07 04:00:00,Kentucky,Kentucky,8,29700,M_003,669.0,157.0,2,10.0,17.0,4.25,5200.0,22800.0,27299.9375,1
133,2021-12-11 07:00:00,Kentucky,Kentucky,9,27200,M_003,1488.0,157.0,2,10.0,17.0,4.684210526315789,5200.0,22800.0,27589.42105263158,1
134,2021-12-11 17:00:00,Kentucky,Kentucky,1,122000,M_003,1498.0,1497.0,1,10.0,17.0,4.12,51200.0,22800.0,37207.96,1
135,2021-12-19 14:00:00,#sundayvibes,#sundayvibes,6,17300,M_004,1686.0,171.0,1,15.0,10.0,2.769230769230769,4100.0,20000.0,15458.338461538462,1
136,2021-12-05 17:00:00,#sundayvibes,#sundayvibes,8,20800,M_004,1353.0,171.0,1,15.0,10.0,2.8275862068965516,4100.0,20000.0,15732.620689655172,1
137,2021-12-19 15:00:00,#sundayvibes,#sundayvibes,7,19100,M_004,1687.0,171.0,1,15.0,10.0,2.742424242424242,4100.0,20000.0,15513.515151515152,1
138,2021-12-19 13:00:00,#sundayvibes,#sundayvibes,6,15200,M_004,1685.0,171.0,1,15.0,10.0,2.8125,4100.0,20000.0,15429.5625,1
139,2021-12-19 12:00:00,#sundayvibes,#sundayvibes,5,12800,M_004,1684.0,171.0,1,15.0,10.0,2.8412698412698414,4100.0,20000.0,15433.20634920635,1
140,2021-12-19 11:00:00,#sundayvibes,#sundayvibes,11,12000,M_004,1683.0,171.0,1,15.0,10.0,2.7903225806451615,4100.0,20000.0,15475.677419354839,1
141,2021-12-12 12:00:00,#sundayvibes,#sundayvibes,6,12700,M_004,1516.0,171.0,1,15.0,10.0,2.7540983606557377,4100.0,20000.0,15532.655737704918,1
142,2021-12-12 11:00:00,#sundayvibes,#sundayvibes,6,11800,M_004,1515.0,171.0,1,15.0,10.0,2.8,4100.0,20000.0,15579.866666666667,1
143,2021-12-12 10:00:00,#sundayvibes,#sundayvibes,9,10500,M_004,1514.0,171.0,1,15.0,10.0,2.7966101694915255,4100.0,20000.0,15643.93220338983,1
144,2021-12-05 11:00:00,#sundayvibes,#sundayvibes,5,8773,M_004,1347.0,171.0,1,15.0,10.0,2.8867924528301887,4100.0,20000.0,15682.867924528302,1
145,2021-12-05 15:00:00,#sundayvibes,#sundayvibes,4,16300,M_004,1351.0,171.0,1,15.0,10.0,2.857142857142857,4100.0,20000.0,15594.5,1
146,2021-12-05 14:00:00,#sundayvibes,#sundayvibes,3,13800,M_004,1350.0,171.0,1,15.0,10.0,2.890909090909091,4100.0,20000.0,15581.672727272728,1
147,2021-12-05 13:00:00,#sundayvibes,#sundayvibes,1,12000,M_004,1349.0,171.0,1,15.0,10.0,2.9074074074074074,4100.0,20000.0,15614.666666666666,1
148,2021-12-05 10:00:00,#sundayvibes,#sundayvibes,8,7397,M_004,1346.0,171.0,1,15.0,10.0,2.8846153846153846,4100.0,20000.0,15815.75,1
149,2021-11-28 16:00:00,#sundayvibes,#sundayvibes,5,24800,M_004,1184.0,171.0,1,15.0,10.0,2.8823529411764706,4100.0,20000.0,15980.823529411764,1
150,2021-11-28 15:00:00,#sundayvibes,#sundayvibes,5,22200,M_004,1183.0,171.0,1,15.0,10.0,2.94,4100.0,20000.0,15804.44,1
151,2021-11-28 14:00:00,#sundayvibes,#sundayvibes,3,18900,M_004,1182.0,171.0,1,15.0,10.0,2.9591836734693877,4100.0,20000.0,15673.918367346938,1
152,2021-12-19 16:00:00,#sundayvibes,#sundayvibes,7,20500,M_004,1688.0,171.0,1,15.0,10.0,2.701492537313433,4100.0,20000.0,15587.940298507463,1
153,2021-11-28 13:00:00,#sundayvibes,#sundayvibes,2,16000,M_004,1181.0,171.0,1,15.0,10.0,3.0,4100.0,20000.0,15606.708333333334,1
